ChEMBL_ID,SMILES
CHEMBL455,CC(=O)NS(=O)(=O)c1ccc(N)cc1
CHEMBL43,COc1cc(NS(=O)(=O)C)ccc1Nc2c3ccccc3nc4ccccc24
CHEMBL456,CCC(=C)C(=O)c1ccc(OCC(=O)O)c(Cl)c1Cl
CHEMBL267744,OC(=O)COc1ccc(C(=O)c2cccs2)c(Cl)c1Cl
CHEMBL457,Cc1ccc(C)c(OCCCC(C)(C)C(=O)O)c1
CHEMBL45,COc1ccc2[nH]cc(CCNC(=O)C)c2c1
CHEMBL46,Cc1nccn1CC2CCc3c(C2=O)c4ccccc4n3C
CHEMBL49,O=C1CC2(CCCC2)CC(=O)N1CCCCN3CCN(CC3)c4ncccn4
CHEMBL51,Fc1ccc(cc1)C(=O)C2CCN(CCN3C(=O)Nc4ccccc4C3=O)CC2
CHEMBL459,C[C@](N)(Cc1ccc(O)c(O)c1)C(=O)O
CHEMBL460,CCc1c(C)[nH]c2CCC(CN3CCOCC3)C(=O)c12
CHEMBL53,CN1CCc2cccc3c2[C@H]1Cc4ccc(O)c(O)c34
CHEMBL54,OC1(CCN(CCCC(=O)c2ccc(F)cc2)CC1)c3ccc(Cl)cc3
CHEMBL55,NC(=N)c1ccc(OCCCCCOc2ccc(cc2)C(=N)N)cc1
CHEMBL463,Nc1ccc(cc1)C(=O)NCC(=O)O
CHEMBL464,CCOC(=O)\C=C(/C)\C=C\C=C(/C)\C=C\c1c(C)cc(OC)c(C)c1C
CHEMBL57,Cc1ccnc2N(C3CC3)c4ncccc4C(=O)Nc12
CHEMBL465,CCCCCc1cc(O)c2[C@@H]3C=C(C)CC[C@H]3C(C)(C)Oc2c1
CHEMBL58,OCCNCCNc1ccc(NCCNCCO)c2C(=O)c3c(O)ccc(O)c3C(=O)c12
CHEMBL59,NCCc1ccc(O)c(O)c1
CHEMBL467,NC(=O)NO
CHEMBL61,COc1cc(cc(OC)c1OC)[C@H]2[C@@H]3[C@H](COC3=O)[C@@H](O)c4cc5OCOc5cc24
CHEMBL64,NNC(=O)c1ccncc1
CHEMBL468,O=C1CCC(N2C(=O)c3ccccc3C2=O)C(=O)N1
CHEMBL469,OC(=O)C1CCn2c1ccc2C(=O)c3ccccc3
CHEMBL471,CC(C)NCC(O)c1ccc(NS(=O)(=O)C)cc1
CHEMBL472,COc1ccc(Cl)cc1C(=O)NCCc2ccc(cc2)S(=O)(=O)NC(=O)NC3CCCCC3
CHEMBL473,CN(CCOc1ccc(NS(=O)(=O)C)cc1)CCc2ccc(NS(=O)(=O)C)cc2
CHEMBL476,CN(C)\N=N\c1[nH]cnc1C(=O)N
CHEMBL477,Nc1ncnc2c1ncn2[C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O
CHEMBL479,CSc1ccc2Sc3ccccc3N(CCC4CCCCN4C)c2c1
CHEMBL480,Cc1c(OCC(F)(F)F)ccnc1C[S+]([O-])c2nc3ccccc3[nH]2
CHEMBL481,CCc1c2CN3C(=O)C4=C(C=C3c2nc5ccc(OC(=O)N6CCC(CC6)N7CCCCC7)cc15)[C@@](O)(CC)C(=O)OC4
CHEMBL70,CN1CC[C@]23[C@H]4Oc5c(O)ccc(C[C@@H]1[C@@H]2C=C[C@@H]4O)c35
CHEMBL485,COc1ccc2C[C@@H]3[C@@H]4C=C[C@H](O)[C@@H]5Oc1c2[C@]45CCN3C
CHEMBL71,CN(C)CCCN1c2ccccc2Sc3ccc(Cl)cc13
CHEMBL72,CNCCCN1c2ccccc2CCc3ccccc13
CHEMBL488,CCC1(CCC(=O)NC1=O)c2ccc(N)cc2
CHEMBL74,[Na+].[Na+].OC(COc1cccc2OC(=CC(=O)c12)C(=O)[O-])COc3cccc4OC(=CC(=O)c34)C(=O)[O-]
CHEMBL76,CCN(CC)CCCC(C)Nc1ccnc2cc(Cl)ccc12
CHEMBL490,Fc1ccc(cc1)[C@@H]2CCNC[C@H]2COc3ccc4OCOc4c3
CHEMBL416146,Cc1ccc(cn1)c2ncc(Cl)cc2c3ccc(cc3)S(=O)(=O)C
CHEMBL79,CCN(CC)CC(=O)Nc1c(C)cccc1C
CHEMBL9967,CN1CCN(CC(=O)N2c3ccccc3C(=O)Nc4cccnc24)CC1
CHEMBL492,CCCN(CC)C(CC)C(=O)Nc1c(C)cccc1C
CHEMBL80,Oc1ccc2C[C@H]3N(CC=C)CC[C@@]45[C@@H](Oc1c24)C(=O)CC[C@@]35O
CHEMBL81,Oc1ccc(cc1)c2sc3cc(O)ccc3c2C(=O)c4ccc(OCCN5CCCCC5)cc4
CHEMBL83,CC\C(=C(/c1ccccc1)\c2ccc(OCCN(C)C)cc2)\c3ccccc3
CHEMBL493,CC(C)C[C@@H]1N2C(=O)[C@](NC(=O)[C@H]3CN(C)[C@@H]4Cc5c(Br)[nH]c6cccc(C4=C3)c56)(O[C@@]2(O)[C@@H]7CCCN7C1=O)C(C)C
CHEMBL494,CC#CCC(C)[C@H](O)\C=C\[C@H]1[C@H](O)C[C@@H]2C\C(=C/CCCC(=O)O)\C[C@H]12
CHEMBL84,CC[C@@]1(O)C(=O)OCC2=C1C=C3N(Cc4cc5c(CN(C)C)c(O)ccc5nc34)C2=O
CHEMBL85,CC1=C(CCN2CCC(CC2)c3noc4cc(F)ccc34)C(=O)N5CCCCC5=N1
CHEMBL428880,OC(COc1cccc2OC(=CC(=O)c12)C(=O)O)COc3cccc4OC(=CC(=O)c34)C(=O)O
CHEMBL86,CCN(CC)CCNC(=O)c1cc(Cl)c(N)cc1OC
CHEMBL428647,CC(=O)O[C@H]1C(=O)[C@]2(C)[C@@H](O)C[C@H]3OC[C@@]3(OC(=O)C)[C@H]2[C@H](OC(=O)c4ccccc4)[C@]5(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)c6ccccc6)c7ccccc7)C(=C1C5(C)C)C
CHEMBL495,CCCCC[C@H](O)\C=C\[C@H]1[C@H](O)CC(=O)[C@@H]1CCCCCCC(=O)O
CHEMBL496,Oc1c(Cl)cc(Cl)c(Cl)c1Cc2c(O)c(Cl)cc(Cl)c2Cl
CHEMBL497,Oc1c(I)cc(Cl)c2cccnc12
CHEMBL10878,COc1ccc2cccc(CCNC(=O)C)c2c1
CHEMBL88,ClCCN(CCCl)P1(=O)NCCCO1
CHEMBL498,CCCNC(=O)NS(=O)(=O)c1ccc(Cl)cc1
